name	type	drawbacks_gained	boons_gained	description
Demonology [SB:DE]	Casting	Draining Casting, Mental Focus	Fortified Casting	This arcane casting tradition is a subdivision of the Blood Magic casting tradition. Not surprising, the demonology casting tradition is found almost exclusively among demonologists, evil outsiders, and fiend-worshiping casters.<br>Classes: Sorcerers and Thaumaturges make thematic demonologists.<br>Casting Ability Modifier: Charisma (or Constitution if higher)<br>Note: Like the Blood Magic casting tradition, a caster with the demonology casting tradition must use the blood price alternate pricing method when using rituals.
Divine Petitioner	Casting	Focus Casting, Prepared Caster, Verbal Casting; Aligned Combatant (Destruction), Aligned Protection (Protection)	+1 spell point per odd level they gain in casting classes.	A divine petitioner gains their magic through service and prayer to a divine source, such as a deity. A divine petitioner must pray every day to regain their spell points, petitioning not only for their magic, but specifying how they intend to use it that day. Divine petitioners do everything in the name of their deity and find it difficult to even manifest their power unless they have their holy symbol in hand.<br>Casting Ability Modifier: Wisdom
Divine Crusader [PGtS]	Casting			While paladins and antipaladins have much in common with clerics, they gain their power directly from the Algod or Ungod rather than through a single divinity, and as such it is their zeal for their alignment that determines their power, rather than priestly devotion. These beings are called divine crusaders, and use Charisma instead of Wisdom as their casting ability modifier.<br>While divine crusaders do not answer to any one particular divinity, they are allies of either the Gods (if Good) or the Fiends (if Evil). A divine crusader can fall (or ascend), changing their alignment and allegiance (and often class), but a divine crusader loses all access to their powers if they are Neutral.
Inquisitor [PGtS]	Casting			There are those who are directly empowered by their deity but exist outside the general priesthood; inquisitors, who are trusted by their deity to act in ways a usual divine petitioner cannot. These casters are trusted with direct divine power and do not need to pray for their magic nor hold their liege’s holy symbol, but as a countermeasure, often possess a more limited measure of their deity’s power. Inquisitors only possess the Verbal Casting drawback, and only gain +1 spell point +1 per 6 levels.
Dream Casting	Casting	Focus Casting, Magical Signs, Narcoleptic Casting	Overcharge, +1 spell point, +1 per three levels in casting classes.	Dream casters are aloof individuals often viewed as extremely odd by other types of magic users. Wielding strange implements and prone to torporic trances, dream casters typically draw their power from esoteric and poorly understood spheres such as Mind and Time. Walking the far borders of reality, dream casters are able to call upon amazing strength but do so at significant risk.<br>Casting Ability Modifier: Wisdom
Druidic	Casting	Focus Casting, Prepared Caster, Verbal Casting; Animal Shaman (Mind)	+1 spell point, +1 per odd level in casting classes.	A druid gains their magic through communion with nature and the spirits contained therein. While many casters band together for mutual study and protection, druids take this a step further, possessing their own secret language that identifies one druid to another. The hierarchy of the druids is a very sacred thing for them, and there are only so many high-level druids in the world at any one time. Indeed, a druid rising through the ranks often times must claim their new title by taking it from another druid through a demonstration of superior magic.<br>Casting Ability Modifier: Wisdom
Hunter [PGtS]	Casting			Sometimes, a creature, known as a hunter, gains their powers specifically through their connection to animals, taking on animalistic components themselves. While a normal druid must meditate on druidic ever morning to determine which powers he will hold within himself, a hunter gains a more limited power, but calls upon that power without the need for preparation. A hunter loses the Prepared Caster drawback and adjust their spell points accordingly.
Elemental Shaman [Cata. HB]	Casting	Area Bound, Charged Spells, Material Casting, Material Focus (Creation, chosen element), Unsettling Casting, Verbal Casting, Witchmarked	Atmoturgy, Drawback Feat (Environment Charge), +1 spell point, +1 per 2 levels in a casting class.	Scattered across the world are emissaries of the elemental planes, shamans of immense power who serve the primordial denizens of the elemental and paraelemental planes. These elemental shamans rely upon landmarks such as canyons, volcanoes, or oases for their power, and oftentimes become lost in the mighty forces from which they draw their magic.<br>Casting Ability Modifier: Wisdom
Entropic Conduit [EO3]	Casting	Expensive Locus, Madness Mantra, Painful Magic, Substantial Magic, Wild Magic	Bound Creature or Overwhelming Power, +1 spell point per odd level in a casting class.	Beholden to an entity of pure destructive chaos, these cursed individuals (by choice or not) withstand great physical and mental agony to stop themselves from being overwhelmed by this entity, even for a moment. Thought to stabilize their magic even further, these entropic conduits use objects of great power or significance to ground them, and even then their magic manifests in strange, physical ways, as if to anchor itself further.<br>Casting Ability Modifier: Wisdom
Fey Magic	Casting	Emotional Casting, Fey-Infused Magic, Somatic Casting, Wild Magic	Easy Focus, Overcharge	To the fey, magic is simply a part of life - and those who study their styles often find that their emotions are a problem, but magic is stronger and easier to control.<br>Casting Ability Modifier: Charisma
Flame-Blooded	Casting	Energy Focus (fire) (Destruction), Limited Warp (requires fire) (Warp), Focused Weather (Heat) (Weather)	None	There exist those who bear in their blood a touch of pure fire. Details of their origin are spotty at best, but the tale is told of a tryst between a mortal woman and the elemental spirit of fire itself, granting the power of fire to all her descendants. The flame-blooded are often as brash and volatile as the element that powers their magic; to cross one is to invite a swift and deadly response.<br>Casting Ability Modifier: Charisma
Gadgeteer	Casting	Focus Casting (artisan tools), Magical Signs, Material Casting, Rigorous Concentration, Skilled Casting (Craft (mechanical)); Unnatural Transformation (gadgets and gears) (Alteration), Elongated Summoning (Conjuration), Kindred Knack (construct) (Mind)	+1 spell point per level in casting classes.	Not often thought of as a mentalist or magician (even amongst themselves), gadgeteers have a knack for constructs, magic devices, and machinery. Armed with a favored tool or set of tools (such as a specially designed burin or wrench), they tinker with clockwork and other bits of artifice to transform the world around themselves and bring mental might to bear on creatures such as golems. Teammates often dislike their magic due to suddenly having clockwork gears or strange gadgets incorporated into them, but apart from that they can bring great gifts to those they assist.<br>Casting Ability Modifier: Intelligence
Hypnotism	Casting	Extended Casting, Focus Casting, Skilled Casting (Profession (hypnotist)), Somatic Casting	+1 spell point per level in casting classes.	Often unsettling and always mysterious, the art of hypnotism, sometimes called mesmerism, has its roots in the magic of the mind, but a flick of the wrist, sway of a pendulum, and penetrating stare of a master has allowed magicians of all stripes to unlock their truest potential. Wielding a specially prepared amulet, pocket watch, gemstone, or other lustrous item that can be held aloft or swayed with a practiced hand, hypnotists and those who use their methods to unlock magical power are often feared as insidious or enthralling masterminds, but can also be celebrated as entertainers and practitioners of skills that make the mysterious appear whimsical and mundane.<br>Casting Ability Modifier: Intelligence
Inherent Divinity	Casting	Emotional Casting, Verbal Casting	Easy Focus	For some, the source of divine power does not come from without, but from within. With nothing more than a word and their will, they can impose their desires on the world.<br>Casting Ability Modifier: Charisma<br>Note: Every creature with inherent divinity expressed their divinity in a unique fashion, often associated with whatever domains they or their parent is associated with. A caster with this tradition can select and gain up to 2 sphere-specific drawbacks of their choice.
Keeper [Cata. HB]	Casting	Area Bound, Focus Casting, Prepared Caster, Terrain Casting, Verbal Casting	+1 spell point, +1 per level in a casting class.	Keepers have pledged themselves to protecting a certain domain from devastation, be it a grove, an oasis, a religious landmark, or some other important location. They draw their power directly from this place, which can unfortunately work against its preservation in dire times.<br>Casting Ability Modifier: Wisdom
Ley-line Tapper	Casting	Area Bound, Extended Casting	Easy Focus, +1 spell point, +1 per six levels in casting classes.	Ley-line tappers draw their power from the innate mystic potential of the leylines connected to notable natural locations. Doing so takes great effort, but once the power is drawn, it is in some measure self-sustaining.<br>Casting Ability Modifier: Intelligence
Lycanthrope	Casting	Wild Magic; Lycanthropic (Alteration)	+1 spell point, +1 per six levels in casting classes.	Curses are terrible things and lycanthropy more so than most. For some casters, however, lycanthropy is the beginning of a long journey to power. These souls not only learn to control their animalistic natures, but to expand them, pulling power from their curse and turning it into a source of magic. Practitioners of this magic should beware however; curses are not trivial things, and a lycanthrope’s magic is unpredictable at best.<br>Casting Ability Modifier: Charisma
Material Transmuter [Cata. HB]	Casting	Diagram Magic, Magical Signs, Material Casting, Somatic Casting; Material Mimic (Creation)	Forge (Creation), +1 spell point, +1 per level in a casting class.	Oftentimes viewing themselves more as scientists than mages, material transmuters use advanced diagrams and a tremendous understanding of the physical world to reshape reality around them in myriad ways.<br>Casting Ability Modifier: Intelligence
Mind	Casting	Emotional Casting, Rigorous Concentration	+1 spell point, +1 per three levels in casting classes.	For some people, magic is an expression of their will, and a little mental focus is enough to call it into being.<br>Casting Ability Modifier: Intelligence
Monastic	Casting	Somatic Casting x2; Lycanthropic (Alteration), Meld Into Dark (Dark), Deathful Touch (Death), Destructive Touch (Destruction), Bodily Enhancement and Personal Magics (Enhancement), Personal Fate (Fate), Personal Illusion (Illusion), Touch Of Light (Light), Regenerate (Life), Limited Nature x2, Protected Soul (Protection), Personal Time (Time), Solo Combatant (War), Personal Warp (Warp)	Easy Focus	When the power of the spirit is properly cultivated through physical discipline and meditation, it can elevate itself to a form of magic. There are orders of monks who practice this form of magic, using their monastic traditions to guide their pursuit of magical awakening. Renowned for their versatility of power, casters of these monastic orders are often solitary, as the very source that gives them such great power also makes it difficult to manifest that power outside of their own bodies.<br>Casting Ability Modifier: Wisdom
Morose Essentialist [Gravecaller's HB]	Casting	Focus Casting (a skull, body part, or undead creature under your control), Mental Focus, Verbal Casting	+1 spell point, +1 per six levels in casting classes.<br>Variable Boons: Morose essentialists gain their choice of either the Deathful Magic or Easy Focus boon.	A morose essentialist possesses a grim, pensive mindset to their applications of magic, often using undead they create or the treated, preserved bones of those they respect.<br>Casting Ability Modifier: Wisdom
Mysticism	Casting	Focus Casting (any), Magical Signs, Verbal Casting, Wild Magic	Empowered Abilities, Metamagic Expert	Mysticism is less about strict hierarchies and more about learning from the divine forces that empower the world. As students of the magical arts, those who follow the path of the mystic tend to have very obvious displays of magic as they channel the might of various spirits and deities.<br>Casting Ability Modifier: Wisdom
Natural	Casting	None	None	Creatures with Natural casting have innate magical abilities with no drawbacks or boons.<br>Casting Ability Modifier: Charisma
Nomad Shamans	Casting	Magical Signs, Verbal Casting; Bodily Enhancement and Restricted Enhancement (tribe members) (Enhancement), Limited Nature x2	Draw Magic	An oral magical tradition, the nomad shamans are members of nomadic tribes who have honed their connection to the natural world through ritual deprivation. Their long and harsh training is often necessary for the survival of their tribe, allowing their people to subsist in areas too harsh for normal survival.<br>Casting Ability Modifier: Charisma
Pact Magic	Casting	Addictive Casting	Easy Focus	Pact Magic focuses on summoning beings to cast magic on the user’s behalf. Having another entity managing the power makes it easy to control, but it can be hard to resist the pull they have over the caster…<br>Casting Ability Modifier: Charisma
Qlippoth Psionics [LG]	Casting	Clarke Compliance, Magical Signs, Mental Focus, Incompatible Energies	Alien Source (Technomancy), +1, +1 per 3 levels in casting classes.	Source: Arcforge Players Compendium<br>The psionic power of the Qlippoth and their progeny relies heavily upon technological influences that are prone to momentarily distorting the surrounding environment. These powers often demand great concentration to properly enunciate<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom
Runist	Casting	Extended Casting, Skilled Casting (Craft (calligraphy)), Somatic Casting x2	+1 spell point per level in casting classes.	Runists study the first language—the language of creation itself. With this knowledge, they can create magical effects by writing out the appropriate runes—a time-consuming process, but a powerful one. Runists spend their lives mastering true names and meditating on the meaning of the runes, for once a runist has mastered a rune’s essence, they master that aspect of creation itself.<br>Casting Ability Modifier: Intelligence
Scion Of The Crown	Casting	Extended Casting, Focus Casting (crown or coronet), Skilled Casting (Knowledge (nobility)), Verbal Casting	Drawback feat (Careful Magic, Magical Focus), +1 spell point per six levels in casting classes.	In a small Western kingdom, the princes and princesses are taught a unique casting tradition that draws on the symbolism of permanence through ponderous recitations of their family line back generations and straight-backed demonstrations of their authority. Throughout centuries of marriages, alliances, and usurpations, this tradition has spread throughout the land – however, competition with foreign traditions and the requirement of noble blood has left it as more of a curiosity than anything else.<br>Casting Ability Modifier: Charisma
Shadow Tapper [Cata. HB]	Casting	Incompatible Energies, Somatic Casting x2, Unsettling Casting, Verbal Casting	Alien Source (Dark), +1 spell point, +1 per 2 levels in casting classes.	Shadow tappers draw upon a parallel field of magic which lies beneath the one commonly known, paying for knowledge of this arcane matrix with their willpower and humanity.<br>Casting Ability Modifier: Intelligence
Shardbound [EO3]	Casting	Center Of Power, Charged Spells, Consciousness Linked, Somatic Casting, Substantial Magic, Unstable Storage.	Drawback Feat (Combat Recharge), Easy Focus, +1 spell point, +1 per 1.5 levels in a casting class.	There are some casters, known typically as shardbound, who fuse artistic expression and magic into their way of casting. Manifesting as floating shards of glass, shardbound must manifest their spells into these ‘shards’ before they can cast them, leaving them open to interruption and meddling.<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
Sin Wizard [Cata. HB]	Casting	Material Casting, Prepared Caster, Somatic Casting x2, Verbal Casting, other drawbacks based upon chosen sin<br>Wrath: Draining Casting, Madness Mantra<br>Lust: Emotional Casting, Mental Focus<br>Pride: Center Of Power, Consciousness Linked<br>Greed: Expensive Locus, Focus Casting or Galvanized Casting<br>Envy: Coy Caster, Unsettling Casting<br>Sloth: Charged Spells, Painful Magic (replaces Prepared Caster)<br>Gluttony: Addictive Casting	+1 spell point per level in casting classes, other boon based upon chosen sin.<br>Wrath: Deathful Magic<br>Lust: Draw Magic<br>Pride: Metamagic Expert<br>Greed: Empowered Abilities<br>Envy: Overwhelming Power<br>Sloth: Easy Focus<br>Gluttony: Overcharge	Scattered among ancient tomes and strange relics are archives of an arcane tradition known as sin magic, a dangerous tradition which allows a wizard to unleash their unbridled vice upon the world. Sin magic comes in seven varieties, each tied to a deadly sin that serves as a foundation for their unique magic.<br>Casting Ability Modifier: Intelligence
Song-Wielder	Casting	Skilled Casting (Perform (sing)), Verbal Casting	Empowered Abilities	Born of ancient royalty, a song-wielder makes magic through the power of their voice. It is an ancient art and difficult to master, but very rewarding. Because a song-wielder’s magic is tied to their voice, they grow in strength the longer they sing. Often, it is only when a song-wielder has sung himself hoarse that his true power manifests.<br>Casting Ability Modifier: Intelligence
Sorcerous Blood	Casting	Somatic Casting x2, Verbal Casting	+1 spell point per odd level in casting classes.	For some individuals, magic is truly in the blood, and all it takes to use it is a flick of the wrist and a quick chant of arcane words.<br>Casting Ability Modifier: Charisma
Combat Sorcery [PGtS]	Casting			Sometimes, a creature with sorcerous blood is so used to physical combat that their magic manifests in ways that are easier to control while encumbered. These casters only possess the somatic casting drawback once, and may not use shields while casting, but can wear light or medium armor. These creatures only gain +1 spell point at 1st level, +1 per 3 levels gained in casting classes.
Spellscourged [EO3]	Casting	Center Of Power, Draining Casting, Substantial Magic, Unstable Storage, Witchmarked.	Empowered Abilities or Fortified Casting, +1 spell point, +1 per 1.5 levels in a casting class.	Those that are spellscourged often carry a strange mutation of magic that causes it to manifest physically on the caster’s body, often leading to physical exhaustion. A side effect of this mutation that is seen as both a boon and a curse is that the physical manifestation on the caster’s body grows larger with each expenditure of magical energy, leaving them physically drained, but more magically potent as the mutation grows.<br>Casting Ability Modifier: Charisma (or Constitution, see below).
Strange Mentalist [Cata. HB]	Casting	Incompatible Energies, Magical Signs, Mental Focus	Alien Source (Mind sphere), +1 spell point, +1 per 6 levels in casting classes.	Certain varieties of psychic power defy normal conventions of magic, resulting in unusual mages with a distinctive presence to their abilities. Utilizing esoteric energies of this sort requires a great deal of mental stability, a vulnerability foes are quick to exploit.<br>Casting Ability Modifier: Intelligence
Sword-Bound	Casting	Draining Casting, Focus Casting (sword)	Fortified Casting	Sometimes, when a magic-user dies, a part of their spirit (called an echo) remains attached to the objects they wielded in life. This is the case with a particular ancient house, where the heir apparent inherits the house’s sword on their fifteenth birthday. Not only does this ancient sword still cut as well as the day it was forged, but it also carries the echo of the family’s founder, granting its owner access to the ancestor’s famed magical power. Wielding the sword is exhausting, but it is a small price to pay to access its magic.<br>Casting Ability Modifier: Charisma
Traditional Magic	Casting	Material Casting, Prepared Caster, Somatic Casting x2, Verbal Casting	+1 spell point per level in casting classes.	Traditional magic is the study of the natural world, astronomy, alchemy, and ancient learning to create magic through a combination of gestures, words, and magical components. Traditional magic is based on performing specific rites and observing various taboos, meaning its practitioners must decide each morning what magic they will use that day so they may perform the appropriate rituals. Traditional magic is the realm of academics, making it a long and grueling course of study but granting wisdom and power in equal amounts.<br>Casting Ability Modifier: Intelligence
Ur-Priest [Cata. HB]	Casting	Focus Casting, Verbal Casting, Wild Magic	Wild Surge, +1 spell point, +1 per 6 levels in casting classes.	Many spellcasters gather divine power through a communion with their god, but there are some who steal the might of the gods without giving anything in return. These ur-priests channel immense amounts of divine magic through their forms, magic they sometimes struggle to contain.<br>Casting Ability Modifier: Wisdom
Vitalist	Casting	Magical Signs, Unstable Storage, Vulnerable Spellcaster.	+1 spell point per odd level.	Where some spellcasters learn their magical talents through their blood or through study; some unfortunate spellcasters were born with a soul intrinsically tied to magic. These people may never notice their magical powers until they grow of age, suddenly and spontaneously utilizing magic when at their healthiest- and notably feeling much more exhausted afterwards. Vitalists are spellcasters whose magical forces are tied directly with the health of their hearts, and who’s bodies serve as a physical vessel for their mana; even small disturbances such as illnesses or diseases can inhibit their magic.<br>Casting Ability Modifier: Charisma
Void Priest [Cata. HB]	Casting	Focus Casting, Prepared Caster, Unsettling Casting, Verbal Casting	+1 spell point, +1 per 1.5 levels in a casting class.	Sometimes, clerics extend their devotion to gods who will not listen, either because their gods are dead, unwilling to answer prayers, or in truth have never existed at all. Nonetheless, the faith of these void priests is sometimes strong enough to draw divine energies from other, unknown sources.<br>Casting Ability Modifier: Wisdom
Water-Magi	Casting	Somatic Casting x2; Water Wizard (Creation), Energy Focus (cold) (Destruction), Limited Telekinesis (requires water) (Telekinesis), Focused Weather (Precipitation) (Weather)	Easy Focus	There exists an order of monks who pull power from an ancient pact formed with the spirit of the moon. These water-magi are born with the power to bend water to their will, pulling it as the moon pulls the tides. Through dedicated practice, they use their movements to control this liquid and bring its power to bear against their enemies.<br>Casting Ability Modifier: Wisdom
Wild-Born	Casting	Focus Casting, Verbal Casting	Bound Creature	A wild-born is someone who was raised by magical creatures: the adopted children of dragons, fey beings, or other creatures of natural inborn magic. While being raised by such beings does not grant the adopted child their parent’s magic, a wild-born might develop a connection with a magical sibling, drawing their power through this familiar bond.<br>Casting Ability Modifier: Charisma
Wilder [Cata. HB]	Casting	Emotional Casting, Incompatible Energies, Magical Signs, Mental Focus, Wild Magic	Alien Source (Mind sphere), Wild Surge, +1 spell point, +1 per 6 levels in casting classes.	Similar to strange mentalists, wilders tap into warped energies within their mind to fuel their powers. However, a wilder’s powers operate on emotion rather than logic, becoming much more volatile as a result.<br>Casting Ability Modifier: Charisma
Wizardry	Casting	Focus Casting, Magical Signs, Material Casting, Prepared Caster, Somatic Casting x2, Verbal Casting	Metamagic Expert, +1 spell point per level in casting classes.	Considered a subset of traditional magic, wizardry takes a lot of study, using magic wands and exotic materials to bend natural powers to the user’s will in very obvious displays of power. Wizards often carry a signature when they use magic, as it manifests in a particular color and shape that grows as they gain power to reflect their own personal styling. The path of wizardry is hard, but those who master it learn to manipulate their power with great skill, becoming masters of metamagic.<br>Casting Ability Modifier: Intelligence
Combat Wizardry [PGtS]	Casting			Sometimes, such as with the magus, a practitioner of wizardry focuses on its application in combat to such an extent that they become extremely proficient at using magic in armor. These casters may use magic in light armor or when using a shield without invoking a chance of arcane spell failure, but only gain +1 spell point, +1 per 1.5 levels (2, 3, 5, 6, etc.) from their tradition.
Witchcraft [PGtS]	Casting			A witch is very similar to a wizard, except where a wizard studies out of books, a witch studies by communing with otherworldly forces via a guiding intelligent animal called a familiar. They use their familiar as their focus instead of a book or wand. The character has no problem casting magic so long as their familiar is alive and within Long range (400 ft. + 40 ft. per caster level). If the character doesn’t belong to the witch class (or another class that grants a familiar), they gain a familiar for this purpose, but only gain +1 spell point, +1 per 1.5 levels (2, 3, 5, 6, etc.) from their tradition. This can be combined with the combat wizardry sub-division, but this only grants +1 spell point at every odd level if using a class that doesn’t grant a familiar.
Blood Boarder	Casting	Card Casting (Cooldown, Gradual Ramp, Mana Graveyard, Mana Pool)	Drawback Feat (Consumptive Play), +1 spell point, +1 per 2 levels in casting classes.	Skilled and vicious heroes have become notorious for a unique brand of magical combat which often involves rotating between erratic magical abilities, creating tense battles where a single miscalculation can be lethal. The ever-flowing nature of these “Blood Boarder” battles lead to experimentation with a broad array of tactics and abilities<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
Card Crusader	Casting	Card Casting (Cooldown)	+1 spell point, +1 per 3 levels in casting classes.	Thought by many as the pioneers of randomized magic, Card Crusaders are an armed order of knights who studied ancient tomes of battle to initiate augmented martial techniques. A number of other disciples have since followed them on this winding path of war.<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
Duel Runner	Casting	Card Casting (Cooldown), Ramp Up	Drawback Feat (Combined Decks), +1 spell point, +1 per 6 levels in casting classes.	A splinter faction of Millennium Duelists has taken to utilizing their magic in conjunction with a secondary resource which streamlines their abilities. Many of these Duel Runners are known to play their magical games from atop speeding vehicles, creating a wild spectacle. The following tradition is intended to be used as a second casting tradition by characters who also possess the Millennium Duelist drawback, the two traditions being merged through the Combined Decks feat and other Theurge feats.<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
Fate Wyrder	Casting	Card Casting (Bleeding Hand x2, Lifebound Deck, Tight Hand)	Drawback Feat (Handblood’s Advantage, selecting the Fresh Hand deck manipulation), +1 spell point, +1 per 2 levels in casting classes.	Fate wyrders draw from a collection of esoteric abilities guided by fortune, gambling with their abilities and scarcely wasting an opportunity to leverage their magical potency.<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
Hearthmage	Casting	Card Casting (Cooldown, Deckout), Magical Signs, Ramp Up	+1 spell point, +1 per level in casting classes.	What began as a popular card game in taverns and barracks has evolved into a magical tradition based on the use of card-based effects in battle. The legends which have circulated around these cards and the players behind them have taken on a legendary status in their own right.<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
Millennium Duelist	Casting	Card Casting (Cooldown, Deckout), Focus Casting (deck of cards), Magical Signs, Somatic Casting, Verbal Casting	Drawback Feat (any Deck feat), +1 spell point, +1 per level in casting classes.	Drawing upon ancient traditions of summoning magic, Millennium Duelists utilize a physical deck of cards as the focus for their magical abilities. They typically view the use of their magic as a ritual game, physically playing their cards and declaring their attacks to cast spells.<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
Realmwalker	Casting	Card Casting (Colored Mana, Cooldown, Deckout, Gradual Ramp, Mana Pool, Stagnant Pool), Expensive Locus, Terrain Casting	Drawback Feat (any 2 Deck feats), +1 spell point, +1 per level in casting classes.	You have studied the planes to construct a powerful arsenal of abilities, gathering their magic through elaborate rituals. These divergent planes require you to invoke a mana pool to harness their full effects<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom.
